date,county,state,fips,cases,deaths,confirmed_cases,confirmed_deaths,probable_cases,probable_deaths,firstDerivative,secondDerivative,POPESTIMATE,ELDERLY,ICU.Beds,severity_index
2020-11-15,Autauga,Alabama,01001,2456,36.0,2199.0,33.0,257.0,3.0,0.025390322269838568,-3.579802752868427e-05,55869.0,8924.0,6.0,0.6222008331762382
2020-11-15,Baldwin,Alabama,01003,7646,84.0,6397.0,80.0,1249.0,4.0,0.010975888481869698,0.00010751050467221884,223234.0,46830.0,51.0,0.7257646605253958
2020-11-15,Barbour,Alabama,01005,1128,9.0,766.0,9.0,362.0,0.0,0.004353258486878928,0.00012152637122255644,24686.0,4861.0,5.0,0.5647251485636908
2020-11-15,Bibb,Alabama,01007,986,17.0,887.0,13.0,99.0,4.0,0.011517142699697284,8.930963650979201e-05,22394.0,3733.0,0.0,0.5557669284810995
2020-11-15,Blount,Alabama,01009,2549,34.0,1949.0,33.0,600.0,1.0,0.03270805323772736,0.0005187977726282336,57826.0,10814.0,6.0,0.626306670839198
2020-11-15,Bullock,Alabama,01011,677,19.0,631.0,15.0,46.0,4.0,0.010639000000702415,0.00029700029700030495,10101.0,1711.0,0.0,0.4992110366415848
2020-11-15,Butler,Alabama,01013,1087,41.0,1031.0,40.0,56.0,1.0,0.006630884759795903,0.0003085150143973675,19448.0,4049.0,7.0,0.5486596508326597
2020-11-15,Calhoun,Alabama,01015,5608,77.0,4738.0,68.0,870.0,9.0,0.02781090134068487,0.00018485101888120886,113605.0,20547.0,24.0,0.6756700040954573
2020-11-15,Chambers,Alabama,01017,1570,48.0,1010.0,41.0,560.0,7.0,0.023914043082110027,0.0007517892584350816,33254.0,6715.0,0.0,0.5869429622831085
2020-11-15,Cherokee,Alabama,01019,908,15.0,650.0,14.0,258.0,1.0,0.02215256186586882,0.0006489540387845522,26196.0,6164.0,0.0,0.5705599964334508
2020-11-15,Chilton,Alabama,01021,2078,36.0,1869.0,29.0,209.0,7.0,0.0077403107234783755,-0.00013504996848834327,44428.0,7600.0,6.0,0.6062972415766551
2020-11-15,Choctaw,Alabama,01023,411,12.0,378.0,12.0,33.0,0.0,0.0034145536264069513,0.00015886885376122095,12589.0,2969.0,0.0,0.516910689274778
