fips,County Population,Total Elderly Count,Elderly per Capita,Maskless per Capita,COVID Cases per Capita,COVID Deaths per Capita,ICU Beds,date,county,state,Total COVID Cases,Total COVID Deaths,Month,Rate of Change
01001,55869,8924,0.159730798832984,0.053,0.0435840985161718,0.000644364495516297,6,2020-12-09,Autauga County,Alabama,3117,42.0,12,33.22
01003,223234,46830,0.20977987224168398,0.083,0.034027074728759994,0.000376286766352796,51,2020-12-09,Baldwin County,Alabama,10087,141.0,12,115.11
01005,24686,4861,0.19691323017094697,0.067,0.0454913716276432,0.000364579113667666,5,2020-12-09,Barbour County,Alabama,1245,30.0,12,6.22
01007,22394,3733,0.16669643654550304,0.02,0.0436724122532821,0.000759131910333125,0,2020-12-09,Bibb County,Alabama,1322,39.0,12,13.11
01009,57826,10814,0.18700930377338898,0.053,0.0435444263825961,0.0005879708089786599,6,2020-12-09,Blount County,Alabama,3496,47.0,12,48.33
01011,10101,1711,0.16938916938916898,0.031,0.0668250668250668,0.0018810018810018802,0,2020-12-09,Bullock County,Alabama,722,20.0,12,2.33
01013,19448,4049,0.20819621554915696,0.102,0.05527560674619499,0.0021081859317153397,7,2020-12-09,Butler County,Alabama,1263,42.0,12,8.56
01015,113605,20547,0.180863518331059,0.152,0.0481492892038203,0.000677787069231108,24,2020-12-09,Calhoun County,Alabama,7392,127.0,12,88.22
01017,33254,6715,0.201930594815661,0.11699999999999999,0.0467913634449991,0.0014434353761953401,0,2020-12-09,Chambers County,Alabama,1961,55.0,12,14.89
01019,26196,6164,0.235303099709879,0.135,0.034280042754619,0.000572606504809895,0,2020-12-09,Cherokee County,Alabama,1134,24.0,12,9.22
01021,44428,7600,0.17106329341856502,0.06,0.0465472224723148,0.000810299810930044,6,2020-12-09,Chilton County,Alabama,2457,47.0,12,18.67
01023,12589,2969,0.235840813408531,0.049,0.0325681150210501,0.000953213122567321,0,2020-12-09,Choctaw County,Alabama,443,20.0,12,1.33
01025,23622,4843,0.20502074337482,0.049,0.0632884599102532,0.0007620015240030481,0,2020-12-09,Clarke County,Alabama,1707,23.0,12,10.78
01027,13235,2785,0.210426898375519,0.14800000000000002,0.0638458632414054,0.000982244049867775,4,2020-12-09,Clay County,Alabama,980,27.0,12,5.78
01029,14910,3008,0.20174379610999302,0.151,0.0441985244802146,0.00073775989268947,0,2020-12-09,Cleburne County,Alabama,844,14.0,12,6.22
01031,52342,9031,0.172538305758282,0.10099999999999999,0.0411715257345917,0.00026747162890222004,7,2020-12-09,Coffee County,Alabama,2755,25.0,12,28.33
01033,55241,11065,0.20030412193841501,0.08199999999999999,0.0490034575767998,0.000687894860701291,22,2020-12-09,Colbert County,Alabama,3617,52.0,12,33.0
01035,12067,2832,0.234689649457197,0.099,0.0529543382779481,0.00116018894505677,0,2020-12-09,Conecuh County,Alabama,761,15.0,12,6.78
01037,10663,2568,0.24083278627027999,0.055,0.0250398574509988,0.00028134671293257097,0,2020-12-09,Coosa County,Alabama,415,4.0,12,5.44
01039,37049,7920,0.21377095198251,0.187,0.0545763718318983,0.00086372101811115,13,2020-12-09,Covington County,Alabama,2426,38.0,12,19.56
01041,13772,2671,0.19394423467905897,0.06,0.0487220447284345,0.00217833284925937,0,2020-12-09,Crenshaw County,Alabama,757,31.0,12,3.89
01043,83768,15735,0.18784022538439496,0.13,0.0435846624009168,0.00035813198357368,12,2020-12-09,Cullman County,Alabama,5377,56.0,12,83.67
01045,49172,8502,0.17290327828845697,0.08900000000000001,0.0438664280484829,0.00109818595948914,6,2020-12-09,Dale County,Alabama,2589,59.0,12,22.11
01047,37196,7021,0.188756855575868,0.095,0.0552478761157114,0.000752769114958598,18,2020-12-09,Dallas County,Alabama,2429,34.0,12,12.67
01049,71513,12601,0.17620572483324698,0.084,0.0583809936654874,0.00047543803224588496,12,2020-12-09,DeKalb County,Alabama,5558,46.0,12,64.11
01051,81209,12657,0.155857109433683,0.042,0.0446255956852073,0.00075114827174328,5,2020-12-09,Elmore County,Alabama,4690,70.0,12,53.22
01053,36633,6691,0.18264952365353604,0.114,0.0510195725165834,0.000846231539868425,14,2020-12-09,Escambia County,Alabama,2186,32.0,12,18.11
01055,102268,19796,0.193569836116869,0.096,0.0517268353737239,0.000596472014706458,56,2020-12-09,Etowah County,Alabama,7563,73.0,12,111.33
01057,16302,3545,0.217457980615875,0.138,0.0445957551220709,0.000920132499079868,12,2020-12-09,Fayette County,Alabama,1099,16.0,12,17.0
01059,31362,5374,0.17135386773802697,0.065,0.0739748740513998,0.00105222881193801,7,2020-12-09,Franklin County,Alabama,2781,34.0,12,23.0
01061,26271,5420,0.20631114156294,0.17600000000000002,0.041262228312588,0.000304518290129801,6,2020-12-09,Geneva County,Alabama,1351,12.0,12,11.22
01063,8111,1890,0.23301689064233802,0.03,0.0461102206879546,0.00209591912217976,0,2020-12-09,Greene County,Alabama,499,18.0,12,7.11
01065,14651,2885,0.19691488635588,0.026000000000000002,0.0592451027233636,0.0020476417991945896,0,2020-12-09,Hale County,Alabama,1078,33.0,12,10.78
01067,17205,4031,0.23429235687300198,0.066,0.047079337401918,0.0003487358326068,0,2020-12-09,Henry County,Alabama,948,7.0,12,6.56
01069,105882,19184,0.18118282616497602,0.085,0.0445118150393835,0.000349445609263142,66,2020-12-09,Houston County,Alabama,5839,46.0,12,47.67
01071,51626,10591,0.20514856855073002,0.092,0.0520667880525317,0.00044551195134234697,10,2020-12-09,Jackson County,Alabama,4121,24.0,12,79.67
01073,658573,107329,0.162972062322628,0.049,0.0418769065843878,0.00069999832972199,471,2020-12-09,Jefferson County,Alabama,38031,533.0,12,500.56
01075,13805,3060,0.221658819268381,0.107,0.0420862006519377,0.0005070626584570809,0,2020-12-09,Lamar County,Alabama,786,8.0,12,9.44
01077,92729,19007,0.204973632844094,0.09300000000000001,0.0351454237617142,0.000549989755092797,48,2020-12-09,Lauderdale County,Alabama,4805,57.0,12,59.78
01079,32924,6287,0.190954926497388,0.162,0.0325294617907909,0.00106305430688859,6,2020-12-09,Lawrence County,Alabama,1480,36.0,12,16.22
01081,164542,20412,0.12405343316600001,0.053,0.0436423527123774,0.00039503591788114903,28,2020-12-09,Lee County,Alabama,8386,72.0,12,57.11
01083,98915,15081,0.152464236971137,0.102,0.0365465298488601,0.000414497295657888,10,2020-12-09,Limestone County,Alabama,4977,48.0,12,63.67
01085,9726,1921,0.197511823976969,0.12,0.0779354308040304,0.0029816985399958897,0,2020-12-09,Lowndes County,Alabama,847,30.0,12,4.22
01087,18068,3785,0.20948638476865197,0.008,0.0359198583130396,0.00110692937790569,0,2020-12-09,Macon County,Alabama,815,22.0,12,6.67
01089,372909,57136,0.153217004684789,0.062,0.0299134641427265,0.000316431086404458,100,2020-12-09,Madison County,Alabama,15884,160.0,12,240.11
01091,18863,3749,0.198748873455972,0.033,0.0599056353708318,0.00127233207867253,5,2020-12-09,Marengo County,Alabama,1351,24.0,12,13.0
01093,29709,6389,0.215052677639772,0.129,0.0425123699888923,0.00107711467905349,4,2020-12-09,Marion County,Alabama,1597,37.0,12,16.67
01095,96774,16750,0.173083679500692,0.075,0.0541777750222167,0.000547667762002191,20,2020-12-09,Marshall County,Alabama,7435,59.0,12,106.89
01097,413210,68742,0.166360930277583,0.077,0.0446383194985601,0.000815565934996733,157,2020-12-09,Mobile County,Alabama,21480,384.0,12,153.0
01099,20733,4385,0.21149857714754297,0.11199999999999999,0.0348237109921381,0.000482322866927121,8,2020-12-09,Monroe County,Alabama,885,11.0,12,6.11
01101,226486,35281,0.155775632930954,0.055999999999999994,0.0508993933399857,0.0009890236041079801,88,2020-12-09,Montgomery County,Alabama,13306,251.0,12,83.78
01103,119679,21341,0.17831866910652697,0.078,0.0445608669858538,0.000342583076396026,34,2020-12-09,Morgan County,Alabama,7974,60.0,12,112.22
01105,8923,1795,0.201165527289028,0.025,0.0716126863162613,0.00067241958982405,0,2020-12-09,Perry County,Alabama,718,9.0,12,3.0
01107,19930,3886,0.19498243853487196,0.031,0.0535373808329152,0.0009031610637230311,4,2020-12-09,Pickens County,Alabama,1345,23.0,12,8.89
01109,33114,5031,0.151929697408951,0.06,0.0450564715830162,0.000422781904934469,9,2020-12-09,Pike County,Alabama,1697,16.0,12,9.11
01111,22722,4741,0.20865240735850699,0.158,0.0413255875363084,0.000880204207376111,0,2020-12-09,Randolph County,Alabama,1105,27.0,12,5.56
01113,57961,8589,0.14818584910543303,0.069,0.0355066337709839,5.17589413571194e-05,8,2020-12-09,Russell County,Alabama,2409,6.0,12,15.89
01115,89512,15083,0.168502547144517,0.027000000000000003,0.0414357851461257,0.000614442756278488,6,2020-12-09,St. Clair County,Alabama,4995,60.0,12,64.0
01117,217702,34724,0.159502439114018,0.022000000000000002,0.0409412867130297,0.00033532075957042203,32,2020-12-09,Shelby County,Alabama,12047,85.0,12,139.0
01119,12427,2325,0.18709262090609197,0.055,0.0424076607387141,0.0016898688339905,0,2020-12-09,Sumter County,Alabama,630,22.0,12,4.89
01121,79978,14769,0.184663282402661,0.113,0.0390107279501863,0.000512640976268474,14,2020-12-09,Talladega County,Alabama,4110,61.0,12,45.44
01123,40367,8987,0.22263234820521696,0.067,0.0394381549285307,0.0021799985136373803,6,2020-12-09,Tallapoosa County,Alabama,2000,92.0,12,14.22
01125,209355,28789,0.137512837047121,0.040999999999999995,0.0560101263404265,0.000706933199589214,84,2020-12-09,Tuscaloosa County,Alabama,14671,191.0,12,145.0
01127,63521,12409,0.195352717998772,0.09,0.0516049810298956,0.0015113112199115302,12,2020-12-09,Walker County,Alabama,4190,113.0,12,50.56
01129,16326,3219,0.19717015803013602,0.018000000000000002,0.0532279799093471,0.000735023888276369,0,2020-12-09,Washington County,Alabama,980,22.0,12,5.33
01131,10373,2105,0.202930685433337,0.061,0.0583244962884411,0.0011568495131591599,0,2020-12-09,Wilcox County,Alabama,681,18.0,12,3.67
01133,23629,5167,0.218671970883237,0.13,0.0478225908840831,0.0009310592915485211,4,2020-12-09,Winston County,Alabama,1561,25.0,12,20.67
02050,18386,1448,0.078755574893941,0.10099999999999999,0.0469378875231154,5.43892091808985e-05,0,2020-12-09,Bethel Census Area County,Alaska,1832,7.0,12,26.33
02070,4916,494,0.100488201790073,0.07200000000000001,0.0160699755899105,0.0,0,2020-12-09,Dillingham Census Area County,Alaska,105,1.0,12,0.56
02150,12998,1476,0.113555931681797,0.042,0.0120787813509771,0.0,0,2020-12-09,Kodiak Island Borough County,Alaska,559,1.0,12,29.33
02180,10004,803,0.0802678928428629,0.086,0.01609356257497,0.0,0,2020-12-09,Nome Census Area County,Alaska,249,0.0,12,1.78
02230,1183,187,0.158072696534235,0.057999999999999996,0.00591715976331361,0.0,0,2020-12-09,Skagway Municipality County,Alaska,11,0.0,12,0.0
02290,5230,822,0.15717017208413,0.044000000000000004,0.0252390057361377,0.000382409177820268,0,2020-12-09,Yukon-Koyukuk Census Area County,Alaska,185,3.0,12,1.33
04001,71887,11334,0.157664111730911,0.055,0.0607063864120077,0.00262912626761445,0,2020-12-09,Apache County,Arizona,6039,204.0,12,60.78
04003,125922,29118,0.231238385667318,0.053,0.0212750750464573,0.000611489652324455,12,2020-12-09,Cochise County,Arizona,4756,93.0,12,95.0
04005,143476,18662,0.130070534444785,0.039,0.0435473528673785,0.0011081992807159401,41,2020-12-09,Coconino County,Arizona,8569,185.0,12,110.44
04007,54018,15869,0.29377244622163,0.073,0.0434484801362509,0.0014439631234033099,8,2020-12-09,Gila County,Arizona,3422,108.0,12,38.44
04009,38837,5440,0.140072611169761,0.095,0.0424337616190746,0.000823956536292711,0,2020-12-09,Graham County,Arizona,2438,38.0,12,21.78
04011,9498,1297,0.13655506422404698,0.111,0.0134765213729206,0.000210570646451885,0,2020-12-09,Greenlee County,Arizona,304,3.0,12,7.22
04012,21108,8392,0.39757437938222495,0.031,0.0320257722190639,0.000852757248436612,3,2020-12-09,La Paz County,Arizona,1031,21.0,12,16.44
04013,4485414,696331,0.155243417887401,0.023,0.0390817882139753,0.000846521636575799,1004,2020-12-09,Maricopa County,Arizona,240917,4213.0,12,2992.11
04015,212181,65910,0.31063101785739505,0.051,0.0238569900226693,0.0011499615893977302,80,2020-12-09,Mohave County,Arizona,7743,276.0,12,140.67
04017,110924,20829,0.187777216833147,0.091,0.0640438498431358,0.0023529623886625103,12,2020-12-09,Navajo County,Arizona,9159,283.0,12,97.33
04019,1047279,212554,0.202958332975263,0.023,0.0307530276077339,0.0006397531125898639,296,2020-12-09,Pima County,Arizona,47570,746.0,12,751.89
04021,462789,96566,0.20866096644475102,0.033,0.029311414056945997,0.000516434055260605,22,2020-12-09,Pinal County,Arizona,19649,282.0,12,280.56
04023,46498,8591,0.18476063486601602,0.027999999999999997,0.0702825927996903,0.00141941588885543,0,2020-12-09,Santa Cruz County,Arizona,4605,80.0,12,64.0
04025,235099,76438,0.32513111497709496,0.031,0.0151850922377381,0.000438113305458552,39,2020-12-09,Yavapai County,Arizona,7251,134.0,12,162.33
04027,213787,41302,0.193192289521814,0.008,0.0712671958538171,0.0017073068053717,42,2020-12-09,Yuma County,Arizona,20788,415.0,12,270.67
05001,17486,3551,0.203076747111975,0.019,0.0467802813679515,0.00114377216058561,0,2020-12-09,Arkansas County,Arkansas,1054,23.0,12,9.0
05003,19657,4116,0.209391056621051,0.023,0.0341862949585389,0.000661342015566974,6,2020-12-09,Ashley County,Arkansas,988,18.0,12,13.0
05005,41932,13058,0.31140894782028006,0.15,0.0250166936945531,0.00040541829628922997,17,2020-12-09,Baxter County,Arkansas,1596,37.0,12,17.89
05007,279141,37902,0.135780841940095,0.081,0.0362791564119925,0.00047646171648020195,30,2020-12-09,Benton County,Arkansas,13634,190.0,12,149.56
05009,37432,7841,0.20947317802949303,0.129,0.0354509510579184,0.0010686044026501401,24,2020-12-09,Boone County,Arkansas,2062,50.0,12,25.67
05011,10763,2070,0.19232555978816301,0.094,0.0363281612933197,0.000743287187587104,0,2020-12-09,Bradley County,Arkansas,625,7.0,12,12.11
05013,5189,1139,0.219502794372712,0.145,0.0192715359414145,0.0,0,2020-12-09,Calhoun County,Arkansas,167,1.0,12,1.56
05015,28380,6772,0.23861874559549,0.111,0.0407329105003524,0.000739957716701903,0,2020-12-09,Carroll County,Arkansas,1666,23.0,12,22.56
05017,10118,2136,0.211108914805297,0.10400000000000001,0.10693813006523,0.0023720102787112103,0,2020-12-09,Chicot County,Arkansas,1279,30.0,12,9.33
05019,22320,3753,0.168145161290323,0.08,0.0298835125448029,0.000268817204301075,0,2020-12-09,Clark County,Arkansas,980,13.0,12,15.44
05021,14551,3182,0.21867912858222802,0.08199999999999999,0.0448079169816507,0.0011683045838774,0,2020-12-09,Clay County,Arkansas,1071,24.0,12,17.44
05023,24919,6790,0.27248284441590803,0.036000000000000004,0.0233155423572374,0.0007223403828404031,0,2020-12-09,Cleburne County,Arkansas,844,25.0,12,10.22
05025,7956,1705,0.214303670186023,0.107,0.0373303167420814,0.00163398692810458,0,2020-12-09,Cleveland County,Arkansas,439,15.0,12,6.67
05027,23457,4160,0.17734578164300602,0.24100000000000002,0.036321780278808,0.0009378863452274369,6,2020-12-09,Columbia County,Arkansas,1253,27.0,12,14.0
05029,20846,4113,0.1973040391442,0.071,0.0223544085196201,0.00023985416866545097,0,2020-12-09,Conway County,Arkansas,837,8.0,12,15.78
05031,110332,15424,0.139796251314215,0.078,0.0533390131602799,0.000534749664648515,66,2020-12-09,Craighead County,Arkansas,8047,95.0,12,90.22
05033,63257,10849,0.171506710719762,0.155,0.0407701914412634,0.000521681394944433,8,2020-12-09,Crawford County,Arkansas,3498,44.0,12,41.33
05035,47955,6960,0.145136065060995,0.059000000000000004,0.059430716296528,0.00110520279428631,0,2020-12-09,Crittenden County,Arkansas,3588,59.0,12,33.33
05037,16419,3167,0.192886290273464,0.09699999999999999,0.0403800475059382,0.00146172117668555,0,2020-12-09,Cross County,Arkansas,989,29.0,12,12.0
05039,7009,1710,0.243972035953774,0.19699999999999998,0.031958909972892004,0.00085604223141675,0,2020-12-09,Dallas County,Arkansas,363,6.0,12,6.67
05041,11361,2227,0.19602147698266,0.078,0.0415456385881525,0.000704163365900889,0,2020-12-09,Desha County,Arkansas,691,9.0,12,13.0
05043,18219,3316,0.182007794061145,0.063,0.0276085405346067,0.000384214281793732,5,2020-12-09,Drew County,Arkansas,1051,8.0,12,32.0
05045,126007,16195,0.12852460577587,0.066,0.0318156927789726,0.00034918694993135295,25,2020-12-09,Faulkner County,Arkansas,5587,63.0,12,75.56
05047,17715,3534,0.19949195596951702,0.149,0.0364662715213096,0.00022579734688117403,0,2020-12-09,Franklin County,Arkansas,898,17.0,12,10.56
05049,12477,3249,0.260399134407309,0.105,0.033902380379899,0.000961769656167348,0,2020-12-09,Fulton County,Arkansas,609,13.0,12,5.33
05051,99386,24144,0.24293160002414801,0.025,0.0318354697844767,0.000825065904654579,41,2020-12-09,Garland County,Arkansas,4389,120.0,12,53.22
